Organism_ID	Organism_name
1	Gallus gallus
2	Cricetulus griseus
3	Vicia faba
4	Drosophila melanogaster
5	Bacillus subtilis
6	Mus musculus
7	Thermus thermophilus
8	Escherichia coli
9	Homo sapiens
10	Rattus norvegicus
11	Saccharomyces cerevisiae
12	Triticum aestivum
13	Oryctolagus cuniculus
14	Geobacillus stearothermophilus
15	Aspergillus nidulans
16	Neurospora crassa
17	Acetobacter aceti
18	Hordeum vulgare
19	Pisum sativum
20	Zea mays
21	Glycine max
22	Arabidopsis thaliana
23	Petroselinum crispum
24	Avena sativa
25	Pyrococcus furiosus
26	Entamoeba histolytica
27	Pseudomonas fluorescens
28	Devosia riboflavina
29	Pseudomonas aeruginosa
30	Brassica napus
31	Acinetobacter calcoaceticus
32	Haloferax volcanii
33	Natronomonas pharaonis
34	Camellia sinensis
35	Schizosaccharomyces pombe
36	Klebsiella pneumoniae
37	Corynebacterium glutamicum
38	Mesocricetus auratus
39	Micrococcus luteus
40	Meyerozyma guilliermondii
41	Kluyveromyces marxianus
42	Rhodococcus erythropolis
43	Equus caballus
44	Zymomonas mobilis
45	Macaca mulatta
46	Rhodococcus ruber
47	Oryza sativa
48	Saccharolobus solfataricus
49	Brevibacterium sp.
50	Oenococcus oeni
51	Thermus sp.
52	Hafnia alvei
53	Citrobacter sp.
54	Candida sp. (in: Saccharomycetales)
55	Oncorhynchus mykiss
56	Cucumis melo
57	Megalodesulfovibrio gigas
58	Thermotoga maritima
59	Methylorubrum extorquens
60	Fragaria x ananassa
61	Suncus murinus
62	Malus domestica
63	Acetobacter pasteurianus
64	Kluyveromyces lactis
65	Naja naja
66	Citrullus lanatus
67	Vitis vinifera
68	Klebsiella oxytoca
69	Triticum monococcum
70	Chlamydomonas moewusii
71	Coturnix coturnix
72	Sporotrichum pulverulentum
73	Thermoanaerobacter brockii
74	Drosophila virilis
75	Parageobacillus thermoglucosidasius
76	Ctenopharyngodon idella
77	Najas marina
78	Drosophila simulans
79	Drosophila funebris
80	Drosophila immigrans
81	Scaptodrosophila lebanonensis
82	Saimiri sciureus
83	Saara hardwickii
84	Triticum turgidum
85	Euglena longa
86	Alligator mississippiensis
87	Pelophylax perezi
88	Carboxydothermus hydrogenoformans
89	Mucor circinelloides
90	Aeropyrum pernix
91	Gluconacetobacter diazotrophicus
92	Thermomicrobium roseum
93	Zygosaccharomyces rouxii
94	Crocus sativus
95	Anastrepha fraterculus
96	Flavobacterium frigidimaris
97	Leifsonia sp.
98	Saccharolobus solfataricus
99	Sulfolobus sp.
100	Pseudomonas putida
101	Candida parapsilosis
102	Neurospora crassa
103	Picrophilus torridus
104	Corynebacterium glutamicum R
105	Magnusiomyces capitatus
106	Schizosaccharomyces pombe
107	Kluyveromyces marxianus
108	Kluyveromyces marxianus
109	Saccharolobus solfataricus
110	Homo sapiens
111	Thermoanaerobacter ethanolicus
112	Anastrepha obliqua
113	Homo sapiens
114	Parageobacillus thermoglucosidasius
115	Thermoplasma acidophilum
116	Thermus sp.
117	Saccharomyces pastorianus
118	Geobacillus thermodenitrificans
119	Mus musculus
120	Saccharomyces cerevisiae
121	Equus caballus
122	Geobacillus stearothermophilus
123	Saccharomyces cerevisiae
124	Euglena gracilis
125	Sulfurisphaera tokodaii
126	Sulfolobus acidocaldarius
127	Sulfolobus acidocaldarius
128	Glycine max
129	Bombyx mori
130	Ogataea angusta
131	[Candida] maris
132	Pyrococcus furiosus
133	Columba livia
134	Scyliorhinus canicula
135	Aeropyrum pernix
136	Haloferax volcanii
137	Thermoanaerobacter pseudethanolicus
138	Thermoanaerobacter pseudethanolicus
139	Kluyveromyces marxianus
140	Kluyveromyces marxianus
141	Kluyveromyces marxianus
142	Kluyveromyces marxianus
143	Sulfurisphaera tokodaii
144	Zymomonas mobilis subsp. mobilis
145	Moraxella sp.
146	Pyrococcus furiosus
147	Acetivibrio thermocellus
148	Lactococcus lactis subsp. lactis
149	Streptococcus thermophilus
150	Thermoanaerobacterium saccharolyticum
151	Thermoanaerobacter sp.
152	Thermococcus kodakarensis
153	Yokenella sp.
154	Thermoanaerobacter sp.
155	Kangiella koreensis
156	Rhodococcus ruber
157	Mycobacterium sp.
158	Thermoanaerobacter sp. X514
159	Thermoanaerobacter ethanolicus
160	Polytomella sp. Pringsheim 198.80
161	Blastobotrys adeninivorans
162	Parvibaculum lavamentivorans
163	Pyrobaculum calidifontis
164	Candida albicans
165	Citrobacter sp. S-77
166	Pyrococcus furiosus AE010289.1 GenBank
167	Pyrococcus furiosus
168	Sphingomonas sp. A1
169	Anaerobium acetethylicum
170	Komagataeibacter medellinensis
171	Aminobacter aminovorans
172	Arabidopsis thaliana
173	Synechocystis sp. PCC 6803
174	Acetobacter senegalensis
175	Komagataeibacter xylinus
176	Chlamydomonas reinhardtii
177	Escherichia coli
178	Saccharomyces cerevisiae
